Scode,ShortName,IndustryName,IndustryCode,Trdwnt,Date,Wretnd,sz_all,sz_50,SVI_code,SVI_All,Numpstisten_A,Numneusten_A,Numnegasten_A,Numsten_A,Tpostnum_G,Pospostnum_G,Negpostnum_G,Neupostnum_G,Readnum_G,Commentnum_G
601169,北京银行,货币金融服务,J66,2014-01,2014-01-03 00:00:00,-0.027963,-1.2445,-1.6035,1696,26700,,,,,118,41,31,46,188619,308
601186,中国铁建,土木工程建筑业,E48,2014-01,2014-01-03 00:00:00,-0.036247,-1.2445,-1.6035,1677,6380,,,,,83,29,24,30,168908,369
601288,农业银行,货币金融服务,J66,2014-01,2014-01-03 00:00:00,-0.008065,-1.2445,-1.6035,2457,210853,,,,,52,20,6,26,155542,57
601318,中国平安,保险业,J68,2014-01,2014-01-03 00:00:00,-0.034508,-1.2445,-1.6035,3859,25745,15,206,10,250,133,54,28,51,190476,194
601328,交通银行,货币金融服务,J66,2014-01,2014-01-03 00:00:00,-0.013021,-1.2445,-1.6035,2321,206007,,,,,297,113,72,112,515318,1363
601336,新华保险,保险业,J68,2014-01,2014-01-03 00:00:00,-0.035402,-1.2445,-1.6035,811,9641,,,,,46,9,16,21,59363,34
601377,兴业证券,资本市场服务,J67,2014-01,2014-01-03 00:00:00,-0.028541,-1.2445,-1.6035,1051,5021,,,,,18,6,6,6,28380,24
601390,中国中铁,土木工程建筑业,E48,2014-01,2014-01-03 00:00:00,-0.022388,-1.2445,-1.6035,2382,6763,,,,,114,38,35,41,295304,645
601398,工商银行,货币金融服务,J66,2014-01,2014-01-03 00:00:00,-0.005587,-1.2445,-1.6035,2501,439852,,,,,142,42,37,63,361463,378
601601,中国太保,保险业,J68,2014-01,2014-01-03 00:00:00,-0.043173,-1.2445,-1.6035,1575,3887,29,69,7,149,79,26,20,33,124513,282
601628,中国人寿,保险业,J68,2014-01,2014-01-03 00:00:00,-0.037013,-1.2445,-1.6035,1549,26773,28,47,3,105,64,25,15,24,95150,255
601668,中国建筑,土木工程建筑业,E48,2014-01,2014-01-03 00:00:00,-0.019108,-1.2445,-1.6035,3259,8689,,,,,203,77,57,69,257351,506
601669,中国电建,土木工程建筑业,E48,2014-01,2014-01-03 00:00:00,-0.019544,-1.2445,-1.6035,2086,3167,,,,,118,55,37,26,247640,329
601688,华泰证券,资本市场服务,J67,2014-01,2014-01-03 00:00:00,-0.040179,-1.2445,-1.6035,1615,11313,,,,,102,31,31,40,183657,226
601766,中国中车,铁路、船舶、航空航天和其它运输设备制造业,C37,2014-01,2014-01-03 00:00:00,-0.017964,-1.2445,-1.6035,3436,9815,7,12,6,37,160,48,54,58,226071,206
601788,光大证券,资本市场服务,J67,2014-01,2014-01-03 00:00:00,-0.019563,-1.2445,-1.6035,2032,8228,,,,,189,65,39,85,303468,449
601800,中国交建,土木工程建筑业,E48,2014-01,2014-01-03 00:00:00,-0.019802,-1.2445,-1.6035,1016,2875,,,,,27,9,11,7,49062,75
601818,光大银行,货币金融服务,J66,2014-01,2014-01-03 00:00:00,-0.018797,-1.2445,-1.6035,2093,81917,,,,,108,42,33,33,204502,400
601857,中国石油,石油和天然气开采业,B07,2014-01,2014-01-03 00:00:00,-0.009079,-1.2445,-1.6035,2382,8819,,,,,276,77,95,104,244694,418
601988,中国银行,货币金融服务,J66,2014-01,2014-01-03 00:00:00,-0.022901,-1.2445,-1.6035,2416,256513,,,,,127,33,43,51,188728,321
601989,中国重工,铁路、船舶、航空航天和其它运输设备制造业,C37,2014-01,2014-01-03 00:00:00,-0.01426,-1.2445,-1.6035,4612,11725,,,,,330,111,97,122,632450,1150
601998,中信银行,货币金融服务,J66,2014-01,2014-01-03 00:00:00,-0.018088,-1.2445,-1.6035,1605,68972,,,,,57,21,14,22,85276,73
600000,浦发银行,货币金融服务,J66,2014-02,2014-01-10 00:00:00,0.02954,-0.7064,-0.3732,,,81,86,29,414,1289,434,298,557,2142618,3276
600010,包钢股份,黑色金属冶炼及压延加工业,C31,2014-02,2014-01-10 00:00:00,-0.172745,-0.7064,-0.3732,31116,62347,2,100,0,119,3393,966,1115,1312,5346707,9514
600015,华夏银行,货币金融服务,J66,2014-02,2014-01-10 00:00:00,0.012407,-0.7064,-0.3732,6762,66436,,,,,394,156,76,162,605663,1221
600016,民生银行,货币金融服务,J66,2014-02,2014-01-10 00:00:00,-0.03548,-0.7064,-0.3732,14309,192118,,,,,682,174,207,301,1113557,1729
600018,上港集团,水上运输业,G55,2014-02,2014-01-10 00:00:00,-0.025341,-0.7064,-0.3732,14966,27855,21,52,4,136,529,160,155,214,867400,859
600028,中国石化,石油和天然气开采业,B07,2014-02,2014-01-10 00:00:00,0.009132,-0.7064,-0.3732,8778,27441,4,28,2,62,682,255,208,219,686157,1203
600029,南方航空,航空运输业,G56,2014-02,2014-01-10 00:00:00,-0.048148,-0.7064,-0.3732,6054,134239,,,,,109,32,34,43,153915,210
600030,中信证券,资本市场服务,J67,2014-02,2014-01-10 00:00:00,-0.058054,-0.7064,-0.3732,14305,37910,,,,,645,203,187,255,980935,1407
600036,招商银行,货币金融服务,J66,2014-02,2014-01-10 00:00:00,0.027593,-0.7064,-0.3732,11027,529387,,,,,274,80,61,133,402636,537
600048,保利地产,房地产业,K70,2014-02,2014-01-10 00:00:00,-0.055487,-0.7064,-0.3732,9539,24030,221,225,67,733,559,233,142,184,885874,1358
600050,中国联通,电信、广播电视和卫星传输服务,I63,2014-02,2014-01-10 00:00:00,-0.053628,-0.7064,-0.3732,10214,201433,,,,,375,115,107,153,537650,833
600100,同方股份,计算机、通信和其他电子设备制造业,C39,2014-02,2014-01-10 00:00:00,-0.020875,-0.7064,-0.3732,10327,21101,,,,,344,109,73,162,811461,1213
600104,上汽集团,汽车制造业,C36,2014-02,2014-01-10 00:00:00,-0.028996,-0.7064,-0.3732,7848,20354,100,129,18,459,202,62,57,83,340794,637
600109,国金证券,资本市场服务,J67,2014-02,2014-01-10 00:00:00,0.143112,-0.7064,-0.3732,7566,19443,24,152,6,116,352,146,85,121,626732,631
600111,北方稀土,有色金属冶炼及压延加工业,C32,2014-02,2014-01-10 00:00:00,-0.057018,-0.7064,-0.3732,18087,18392,,,,,658,157,248,253,922059,1262
600150,中国船舶,铁路、船舶、航空航天和其它运输设备制造业,C37,2014-02,2014-01-10 00:00:00,-0.108408,-0.7064,-0.3732,8320,18360,,,,,200,74,65,61,313711,526
600256,广汇能源,石油和天然气开采业,B07,2014-02,2014-01-10 00:00:00,-0.075706,-0.7064,-0.3732,9812,20844,,,,,700,192,260,248,1221581,2254
600406,国电南瑞,软件和信息技术服务业,I65,2014-02,2014-01-10 00:00:00,0.010862,-0.7064,-0.3732,7233,18171,,,,,138,44,37,57,303599,286
600518,康美药业,医药制造业,C27,2014-02,2014-01-10 00:00:00,-0.106185,-0.7064,-0.3732,7263,20968,,,,,295,52,111,132,525578,782
600519,贵州茅台,酒、饮料和精制茶制造业,C15,2014-02,2014-01-10 00:00:00,-0.03799,-0.7064,-0.3732,9006,27467,,,,,863,263,235,365,1171448,3134
600547,山东黄金,有色金属矿采选业,B09,2014-02,2014-01-10 00:00:00,-0.086932,-0.7064,-0.3732,9538,24077,,,,,526,182,153,191,703086,1302
600583,海油工程,开采辅助活动,B11,2014-02,2014-01-10 00:00:00,0.095559,-0.7064,-0.3732,9059,20102,79,146,26,468,408,161,98,149,1039799,1213
600585,海螺水泥,非金属矿物制品业,C30,2014-02,2014-01-10 00:00:00,-0.032422,-0.7064,-0.3732,7361,17686,25,37,4,74,123,48,37,38,215702,290
600637,东方明珠,电信、广播电视和卫星传输服务,I63,2014-02,2014-01-10 00:00:00,0.085353,-0.7064,-0.3732,8045,38941,3,40,4,70,342,121,68,153,643862,885
600690,青岛海尔,电气机械及器材制造业,C38,2014-02,2014-01-10 00:00:00,-0.02571,-0.7064,-0.3732,6890,14673,,,,,144,59,27,58,298847,246
600795,国电电力,电力、热力生产和供应业,D44,2014-02,2014-01-10 00:00:00,-0.021739,-0.7064,-0.3732,7569,16831,,,,,80,37,15,28,133427,101
600837,海通证券,资本市场服务,J67,2014-02,2014-01-10 00:00:00,-0.053853,-0.7064,-0.3732,9842,31195,,,,,437,112,153,172,645318,741
600887,伊利股份,食品制造业,C14,2014-02,2014-01-10 00:00:00,0.054039,-0.7064,-0.3732,6718,17372,,,,,197,84,38,75,324854,491
600893,中航动力,铁路、船舶、航空航天和其它运输设备制造业,C37,2014-02,2014-01-10 00:00:00,-0.072,-0.7064,-0.3732,5278,5640,,,,,239,73,85,81,417988,575
600999,招商证券,资本市场服务,J67,2014-02,2014-01-10 00:00:00,-0.071016,-0.7064,-0.3732,6901,32625,,,,,284,95,71,118,405948,533
601006,大秦铁路,铁路运输业,G53,2014-02,2014-01-10 00:00:00,-0.058518,-0.7064,-0.3732,5350,12543,30,291,14,348,86,30,18,38,188876,278
601088,中国神华,煤炭开采和洗选业,B06,2014-02,2014-01-10 00:00:00,-0.057254,-0.7064,-0.3732,6103,16057,63,193,18,311,494,166,137,191,632212,973
601166,兴业银行,货币金融服务,J66,2014-02,2014-01-10 00:00:00,0.002055,-0.7064,-0.3732,10198,168812,,,,,556,198,109,249,919825,1767
601169,北京银行,货币金融服务,J66,2014-02,2014-01-10 00:00:00,-0.017808,-0.7064,-0.3732,3941,62157,,,,,266,105,49,112,359738,617
601186,中国铁建,土木工程建筑业,E48,2014-02,2014-01-10 00:00:00,-0.088496,-0.7064,-0.3732,4736,22575,,,,,333,97,132,104,479760,877
601288,农业银行,货币金融服务,J66,2014-02,2014-01-10 00:00:00,-0.020325,-0.7064,-0.3732,5991,472032,,,,,127,31,43,53,191829,222
601318,中国平安,保险业,J68,2014-02,2014-01-10 00:00:00,-0.01787,-0.7064,-0.3732,8956,58123,,,,,348,113,81,154,485923,599
601328,交通银行,货币金融服务,J66,2014-02,2014-01-10 00:00:00,0.002639,-0.7064,-0.3732,5326,469904,,,,,365,156,63,146,558395,1305
601336,新华保险,保险业,J68,2014-02,2014-01-10 00:00:00,-0.016765,-0.7064,-0.3732,2183,23183,,,,,96,18,29,49,133156,168
601377,兴业证券,资本市场服务,J67,2014-02,2014-01-10 00:00:00,-0.020675,-0.7064,-0.3732,2643,11928,,,,,63,28,19,16,98378,82
601390,中国中铁,土木工程建筑业,E48,2014-02,2014-01-10 00:00:00,-0.091603,-0.7064,-0.3732,7651,60829,,,,,509,120,198,191,757117,1224
601398,工商银行,货币金融服务,J66,2014-02,2014-01-10 00:00:00,-0.008427,-0.7064,-0.3732,6020,952686,,,,,304,76,101,127,360896,567
601601,中国太保,保险业,J68,2014-02,2014-01-10 00:00:00,-0.038353,-0.7064,-0.3732,4055,9671,,,,,152,55,28,69,212826,346
601628,中国人寿,保险业,J68,2014-02,2014-01-10 00:00:00,-0.018531,-0.7064,-0.3732,3765,60688,,,,,164,55,33,76,187781,351
601668,中国建筑,土木工程建筑业,E48,2014-02,2014-01-10 00:00:00,-0.032468,-0.7064,-0.3732,8173,21946,,,,,459,166,137,156,613392,1346
601669,中国电建,土木工程建筑业,E48,2014-02,2014-01-10 00:00:00,-0.069767,-0.7064,-0.3732,5328,7711,,,,,313,98,109,106,564290,764
601688,华泰证券,资本市场服务,J67,2014-02,2014-01-10 00:00:00,-0.012791,-0.7064,-0.3732,3920,27311,,,,,163,73,40,50,246214,342
601766,中国中车,铁路、船舶、航空航天和其它运输设备制造业,C37,2014-02,2014-01-10 00:00:00,-0.081301,-0.7064,-0.3732,7354,21408,,,,,213,51,82,80,334665,526
601788,光大证券,资本市场服务,J67,2014-02,2014-01-10 00:00:00,-0.073944,-0.7064,-0.3732,5105,19897,,,,,537,162,177,198,680464,1271
601800,中国交建,土木工程建筑业,E48,2014-02,2014-01-10 00:00:00,-0.030303,-0.7064,-0.3732,2459,6983,,,,,61,31,18,12,129772,265
601818,光大银行,货币金融服务,J66,2014-02,2014-01-10 00:00:00,-0.030651,-0.7064,-0.3732,5529,183533,,,,,265,91,54,120,472524,949
601857,中国石油,石油和天然气开采业,B07,2014-02,2014-01-10 00:00:00,-0.014398,-0.7064,-0.3732,6989,23058,,,,,762,201,247,314,635214,1233
601988,中国银行,货币金融服务,J66,2014-02,2014-01-10 00:00:00,-0.027344,-0.7064,-0.3732,6248,612647,,,,,247,84,78,85,319272,944
601989,中国重工,铁路、船舶、航空航天和其它运输设备制造业,C37,2014-02,2014-01-10 00:00:00,-0.103074,-0.7064,-0.3732,11440,29817,,,,,1495,424,494,577,2497847,5872
601998,中信银行,货币金融服务,J66,2014-02,2014-01-10 00:00:00,-0.023684,-0.7064,-0.3732,3464,162213,,,,,97,38,21,38,138743,149
600000,浦发银行,货币金融服务,J66,2014-03,2014-01-17 00:00:00,-0.030818,-0.9266,-1.1669,,,,,,,883,279,228,376,1431837,2628
600010,包钢股份,黑色金属冶炼及压延加工业,C31,2014-03,2014-01-17 00:00:00,0.032483,-0.9266,-1.1669,20615,38051,11,41,2,71,1573,486,432,655,3096038,5731
600015,华夏银行,货币金融服务,J66,2014-03,2014-01-17 00:00:00,-0.02451,-0.9266,-1.1669,6159,63316,,,,,250,75,71,104,342702,374
600016,民生银行,货币金融服务,J66,2014-03,2014-01-17 00:00:00,-0.038147,-0.9266,-1.1669,12835,185344,2,18,3,44,606,172,197,237,824768,886
600018,上港集团,水上运输业,G55,2014-03,2014-01-17 00:00:00,-0.038,-0.9266,-1.1669,12188,22221,8,35,6,145,292,99,91,102,397852,445
600028,中国石化,石油和天然气开采业,B07,2014-03,2014-01-17 00:00:00,0.054299,-0.9266,-1.1669,9114,27295,39,176,27,543,676,277,160,239,658616,1037
600029,南方航空,航空运输业,G56,2014-03,2014-01-17 00:00:00,-0.003891,-0.9266,-1.1669,5547,105825,8,39,9,152,139,47,38,54,180098,327
600030,中信证券,资本市场服务,J67,2014-03,2014-01-17 00:00:00,0.011285,-0.9266,-1.1669,12906,34141,,,,,431,133,119,179,632957,809
600036,招商银行,货币金融服务,J66,2014-03,2014-01-17 00:00:00,-0.021296,-0.9266,-1.1669,10607,497228,6,44,7,153,298,91,74,133,399901,422
600048,保利地产,房地产业,K70,2014-03,2014-01-17 00:00:00,-0.027415,-0.9266,-1.1669,8845,22601,,,,,408,149,94,165,592886,900
600050,中国联通,电信、广播电视和卫星传输服务,I63,2014-03,2014-01-17 00:00:00,-0.003333,-0.9266,-1.1669,10055,187308,,,,,233,89,64,80,328720,431
600100,同方股份,计算机、通信和其他电子设备制造业,C39,2014-03,2014-01-17 00:00:00,0.02335,-0.9266,-1.1669,10735,21979,,,,,443,160,79,204,926486,1204
600104,上汽集团,汽车制造业,C36,2014-03,2014-01-17 00:00:00,-0.032925,-0.9266,-1.1669,7811,20055,19,59,13,228,229,74,73,82,410733,532
600109,国金证券,资本市场服务,J67,2014-03,2014-01-17 00:00:00,0.03013,-0.9266,-1.1669,7344,19314,,,,,295,113,68,114,510293,575
600111,北方稀土,有色金属冶炼及压延加工业,C32,2014-03,2014-01-17 00:00:00,-0.006977,-0.9266,-1.1669,15495,15495,,,,,391,115,119,157,537648,758
600150,中国船舶,铁路、船舶、航空航天和其它运输设备制造业,C37,2014-03,2014-01-17 00:00:00,-0.011489,-0.9266,-1.1669,7154,16140,,,,,127,54,23,50,239290,277
600256,广汇能源,石油和天然气开采业,B07,2014-03,2014-01-17 00:00:00,-0.143032,-0.9266,-1.1669,13545,34180,,,,,2041,640,584,817,3289739,5372
600406,国电南瑞,软件和信息技术服务业,I65,2014-03,2014-01-17 00:00:00,-0.037609,-0.9266,-1.1669,6351,16108,,,,,87,23,28,36,148920,124
600485,信威集团,计算机、通信和其他电子设备制造业,C39,2014-03,2014-01-17 00:00:00,-0.066797,-0.9266,-1.1669,8076,8517,3,18,2,30,572,168,164,240,969875,1277
600518,康美药业,医药制造业,C27,2014-03,2014-01-17 00:00:00,0.026944,-0.9266,-1.1669,7582,21401,,,,,217,52,73,92,358431,467
600519,贵州茅台,酒、饮料和精制茶制造业,C15,2014-03,2014-01-17 00:00:00,0.008636,-0.9266,-1.1669,8728,28226,,,,,684,222,180,282,1160421,3246
600547,山东黄金,有色金属矿采选业,B09,2014-03,2014-01-17 00:00:00,-0.070346,-0.9266,-1.1669,9115,22495,,,,,653,181,216,256,805056,2023
600583,海油工程,开采辅助活动,B11,2014-03,2014-01-17 00:00:00,0.001229,-0.9266,-1.1669,9845,22038,55,240,15,323,224,93,35,96,387535,366
600585,海螺水泥,非金属矿物制品业,C30,2014-03,2014-01-17 00:00:00,0.074901,-0.9266,-1.1669,7287,17509,70,64,11,277,144,61,33,50,268035,226
600637,东方明珠,电信、广播电视和卫星传输服务,I63,2014-03,2014-01-17 00:00:00,0.002977,-0.9266,-1.1669,6845,34146,,,,,132,47,33,52,259345,374
600690,青岛海尔,电气机械及器材制造业,C38,2014-03,2014-01-17 00:00:00,0.096207,-0.9266,-1.1669,7206,15633,10,65,7,206,146,62,25,59,238594,243
600795,国电电力,电力、热力生产和供应业,D44,2014-03,2014-01-17 00:00:00,0.004444,-0.9266,-1.1669,7525,16363,,,,,83,48,12,23,156571,156
600837,海通证券,资本市场服务,J67,2014-03,2014-01-17 00:00:00,0.007851,-0.9266,-1.1669,9199,28721,,,,,293,92,79,122,425075,514
600887,伊利股份,食品制造业,C14,2014-03,2014-01-17 00:00:00,-0.036657,-0.9266,-1.1669,5549,14619,90,173,16,302,132,52,33,47,309985,341
600893,中航动力,铁路、船舶、航空航天和其它运输设备制造业,C37,2014-03,2014-01-17 00:00:00,0.145977,-0.9266,-1.1669,7260,7646,,,,,466,161,100,205,931375,1118
600999,招商证券,资本市场服务,J67,2014-03,2014-01-17 00:00:00,0.008889,-0.9266,-1.1669,5893,27922,,,,,139,54,37,48,231876,278
601006,大秦铁路,铁路运输业,G53,2014-03,2014-01-17 00:00:00,-0.027624,-0.9266,-1.1669,4433,11205,9,36,6,147,90,27,28,35,124705,171
601088,中国神华,煤炭开采和洗选业,B06,2014-03,2014-01-17 00:00:00,-0.017943,-0.9266,-1.1669,5599,13963,,,,,258,103,63,92,377139,559
601166,兴业银行,货币金融服务,J66,2014-03,2014-01-17 00:00:00,-0.045128,-0.9266,-1.1669,10255,170219,,,,,649,185,162,302,1034819,2041
601169,北京银行,货币金融服务,J66,2014-03,2014-01-17 00:00:00,-0.030683,-0.9266,-1.1669,4405,59862,,,,,504,152,173,179,528931,939
601186,中国铁建,土木工程建筑业,E48,2014-03,2014-01-17 00:00:00,-0.002427,-0.9266,-1.1669,3798,16576,,,,,153,60,45,48,275734,553
601288,农业银行,货币金融服务,J66,2014-03,2014-01-17 00:00:00,-0.020747,-0.9266,-1.1669,5784,476343,,,,,196,59,54,83,259494,349
601318,中国平安,保险业,J68,2014-03,2014-01-17 00:00:00,0.0326,-0.9266,-1.1669,8750,57470,12,112,14,285,318,136,66,116,503983,541
601328,交通银行,货币金融服务,J66,2014-03,2014-01-17 00:00:00,-0.021053,-0.9266,-1.1669,5305,461910,,,,,296,111,60,125,418546,757
601336,新华保险,保险业,J68,2014-03,2014-01-17 00:00:00,-0.005991,-0.9266,-1.1669,2093,22861,,,,,103,27,27,49,116052,82
601377,兴业证券,资本市场服务,J67,2014-03,2014-01-17 00:00:00,0.02,-0.9266,-1.1669,2433,11457,,,,,47,23,12,12,55318,25
601390,中国中铁,土木工程建筑业,E48,2014-03,2014-01-17 00:00:00,0,-0.9266,-1.1669,5896,20007,,,,,163,48,39,76,238237,405
601398,工商银行,货币金融服务,J66,2014-03,2014-01-17 00:00:00,-0.033994,-0.9266,-1.1669,6764,979943,,,,,698,191,226,281,868820,1342
601601,中国太保,保险业,J68,2014-03,2014-01-17 00:00:00,-0.00176,-0.9266,-1.1669,3613,8884,75,143,33,446,100,40,14,46,148496,149
601628,中国人寿,保险业,J68,2014-03,2014-01-17 00:00:00,0.020979,-0.9266,-1.1669,3493,57488,8,42,11,157,156,53,37,66,190498,391
601668,中国建筑,土木工程建筑业,E48,2014-03,2014-01-17 00:00:00,0,-0.9266,-1.1669,7810,21078,41,32,3,121,412,156,120,136,550525,1173
601669,中国电建,土木工程建筑业,E48,2014-03,2014-01-17 00:00:00,-0.010714,-0.9266,-1.1669,5323,8670,,,,,210,75,68,67,372467,545
601688,华泰证券,资本市场服务,J67,2014-03,2014-01-17 00:00:00,0.005889,-0.9266,-1.1669,3279,24148,,,,,117,48,26,43,173129,246
601766,中国中车,铁路、船舶、航空航天和其它运输设备制造业,C37,2014-03,2014-01-17 00:00:00,-0.044248,-0.9266,-1.1669,6159,18533,,,,,190,44,63,83,254869,341
601788,光大证券,资本市场服务,J67,2014-03,2014-01-17 00:00:00,0.006337,-0.9266,-1.1669,4930,18512,,,,,343,89,130,124,381927,670
601800,中国交建,土木工程建筑业,E48,2014-03,2014-01-17 00:00:00,-0.013021,-0.9266,-1.1669,2216,6485,,,,,43,20,13,10,77822,72
601818,光大银行,货币金融服务,J66,2014-03,2014-01-17 00:00:00,-0.011858,-0.9266,-1.1669,5061,181774,,,,,240,74,56,110,342122,601
601857,中国石油,石油和天然气开采业,B07,2014-03,2014-01-17 00:00:00,0.029216,-0.9266,-1.1669,6463,23175,,,,,1141,309,390,442,826490,1551
601901,方正证券,资本市场服务,J67,2014-03,2014-01-17 00:00:00,-0.077834,-0.9266,-1.1669,14871,44144,122,577,27,899,2133,532,737,864,2963683,4668
601988,中国银行,货币金融服务,J66,2014-03,2014-01-17 00:00:00,-0.004016,-0.9266,-1.1669,5818,815162,,,,,199,67,51,81,294729,794
601989,中国重工,铁路、船舶、航空航天和其它运输设备制造业,C37,2014-03,2014-01-17 00:00:00,-0.044355,-0.9266,-1.1669,11608,30308,,,,,1675,483,555,637,2573757,7193
601998,中信银行,货币金融服务,J66,2014-03,2014-01-17 00:00:00,-0.032345,-0.9266,-1.1669,3696,159925,13,107,12,277,136,44,39,53,185030,233
600000,浦发银行,货币金融服务,J66,2014-04,2014-01-24 00:00:00,0.012061,0.598,0.2024,,,6,39,2,53,684,238,146,300,1271606,1908
